Ticker,RUT,Name
AESANDES,94272000-9,AESANDES AES Andes S.A. (ex AES Gener
AFPCAPITAL,98000000-1,AFPCAPITAL Administradora de Fondos de Pensiones Capital
AGUAS-A,61808000-5,BAguas Andinas
AGUAS-B,61808000-5,BAguas Andinas
ALMENDRAL,94270000-8,ALMENDRAL Almendral
ANASAC,91253000-0,ANASAC Agricola Nacional S.A.C. e
ANDACOR,91400000-9,ANDACOR Andacor
ANDINA-A,91144000-8,BEmbotelladora Andina
ANDINA-B,91144000-8,BEmbotelladora Andina
ANTARCHILE,96556310-5,ANTARCHILE AntarChile
AQUACHILE,86247400-7,AQUACHILE Empresas Aquachile
ATSA,91126000-K,ATSA Automovilismo y Turismo
AXXION,90818000-3,AXXION Axxion
AZUL,76838140-2,AZUL AZUL Azul Azul
BANVIDA,96882560-7,BANVIDA Banvida
BCI,97006000-6,BCI Banco de Credito
BESALCO,92434000-2,BESALCO Besalco
BETLAN,76248064-6,BETLAN DOS Betlan Dos
BICECORP,85741000-9,BICECORP Bicecorp
BINT,97011000-3,BINT Banco
BLUMAR,80860400-0,BLUMAR Blumar
BOLSASTGO,90249000-0,"BOLSASTGO Bolsa de Comercio de Santiago, Bolsa de"
BSANTANDER,97036000-K,BSANTANDER Banco Santander-Chile
CALICHERAA,96511530-7,CALICHERAA CALICHERABA BSociedad de Inversiones Pampa Calichera
CAMANCHACA,93711000-6,CAMANCHACA Compania Pesquera Camanchaca
CAMPOS,96538080-9,CAMPOS Sociedad de Inversiones Campos Chilenos
CANALISTAS,96506770-1,CANALISTAS Sociedad de Canalistas La Foresta de Apoquindo
CAP,91297000-0,CAP Cap
CAROZZI,76143636-8,CAROZZI Carozzi
CASABLANCA,96766110-4,CASABLANCA Energia de Casablanca
CCU,90413000-1,CCU Compania Cervecerias Unidas
CEM,76388223-3,CEM Cem
CEMENTOS,91755000-K,CEMENTOS Cementos Bio Bio
CENCOSHOPP,76433310-1,CENCOSHOPP Cencosud Shopping
CENCOSUD,93834000-5,CENCOSUD Cencosud
CGE,76411321-7,CGE Compania General de Electricidad
CGEGAS,76609803-7,CGEGAS CGE Gas Natural
CHILE,97004000-5,CHILE Banco de
CIC,93830000-3,CIC Companias CIC
CINTAC,92544000-0,CINTAC Cintac
CLUBUNION,91196000-1,CLUBUNION Union Inmobiliaria
CMPC,90222000-3,CMPC Empresas CMPC
COLBUN,96505760-9,COLBUN Colbun
COLCRAIG-A,95358000-4,BColegio Craighouse
COLCRAIG-B,95358000-4,BColegio Craighouse
COLINSE,91770000-1,COLINSE Colegio Ingles Catolico de La Serena
COLO,99589230-8,COLO COLO Blanco y Negro
COLOSO,93065000-5,"COLOSO Sociedad Pesquera Coloso S.A., en"
CONCHATORO,90227000-0,CONCHATORO Vina Concha y Toro
CONSOGRAL,99037000-1,CONSOGRAL Chilena Consolidada Seguros Generales
COPEC,90690000-9,COPEC Empresas Copec
COPEVAL,81290800-6,COPEVAL Compania Agropecuaria Copeval
COUNTRY-A,90129000-8,B PPrince of Wales Country Club S.A.
COVADONGA,96569460-9,COVADONGA Inversiones Covadonga
CRAIGHOUSE,93388000-1,CRAIGHOUSE Inmobiliaria Craighouse
CRISTALES,90331000-6,CRISTALES Cristalerias de Chile
CRUZADOS,76072469-6,CRUZADOS Cruzados
CTC,90635000-9,CTC Telefonica Chile
CUPRUM,98001000-4,CUPRUM Administradora de Fondos de Pensiones Cuprum
DEHESA,92268000-0,DEHESA Inmobiliaria de Deportes La Dehesa
DUNCANFOX,96761990-6,DUNCANFOX Duncan Fox
ECL,88006900-4,ECL Engie Energia Chile
EDELMAG,88221200-9,EDELMAG Empresa Electrica de Magallanes
EDELPA,89996200-1,EDELPA Envases del Pacifico
EISA,76005049-0,"EISA Echeverria, Izquierdo"
EISA,76005049-0,"EISA Echeverria, Izquierdo"
ELUXSA,76163495-K,ELUXSA Electrolux de Chile
EMBONOR-A,93281000-K,Embonor
EMBONOR-B,93281000-K,Embonor
EMILIANA,96512200-1,EMILIANA Vinedos Emiliana
ENAEX,90266000-3,ENAEX Enaex
ENELAM,94271000-3,ENELAM Enel Americas
ENELCHILE,76536353-5,ENELCHILE Enel Chile
ENELDXCH,96524320-8,ENELDXCH Enel Distribucion Chile
ENELGXCH,91081000-6,ENELGXCH Enel Generacion Chile
ENELTXCH,77282311-8,ENELTXCH Enel Transmision Chile
ENJOY,96970380-7,ENJOY Enjoy
ENLASA,76309510-K,ENLASA Energia Latina
ENTEL,92580000-7,ENTEL Empresa Nacional de Telecomunicaciones
ESPANOLA,93727000-3,ESPANOLA Compania de Inversiones La Espanola
ESPANOLVAL,90659000-K,ESPANOLVAL Club Espanol de Valparaiso (Chile)
ESSBIO-A,96579330-5,B CEssbio
ESTACIONAM,82038300-1,ESTACIONAM Inmobiliaria Central de Estacionamientos Agustinas
ESVAL-A,76000739-0,B CEsval
FALABELLA,90749000-9,FALABELLA Falabella
FEPASA,96684580-5,FEPASA Ferrocarril del Pacifico
FERIAOSOR,91237000-3,FERIAOSOR Feria de Osorno
FORUS,86963200-7,FORUS Forus
FOSFOROS,90081000-8,FOSFOROS Compania Chilena de Fosforos
FROWARD,96723320-K,FROWARD Portuaria Cabo Froward
GASCO,90310000-1,GASCO Empresas Gasco
GASCOINV,77303281-5,GASCOINV Gasco Inversiones
GENERADORA,96610270-5,GENERADORA Sociedad de Inversiones Generadora de Empresas
GOLF,90711000-1,GOLF Sociedad Anonima de Deportes Club de Golf 
GRANADILLA,90115000-1,GRANADILLA Granadilla Country Club
HABITAT,98000100-8,HABITAT Administradora de Fondos de Pensiones Habitat
HF,96896990-0,HF Hortifrut
HIPERMARC,96621750-2,HIPERMARC Hipermarc
HIPICO,90212000-9,HIPICO Club Hipico de Santiago
HIPODROMOA,90256000-9,HIPODROMOA HIPODROMOBA BSociedad Hipodromo Chile
HITES,96947020-9,HITES Empresas Hites
HORNOS,93501000-4,HORNOS Empresas Cabo de Hornos
IACSA,90269000-K,IACSA Inversiones Agricolas y Comerciales
IAM,77274820-5,IAM Inversiones Aguas Metropolitanas
IANSA,91550000-5,IANSA Empresas Iansa
ILC,94139000-5,ILC Inversiones La Construccion
INDISA,92051000-0,INDISA Instituto de Diagnostico
INFODEMA,92165000-0,"INFODEMA Infodema S.A., en"
INGEVEC,76016541-7,INGEVEC Ingevec
INMOBVINA,95816000-3,INMOBVINA Sociedad Inmobiliaria Vina Del Mar
INTASA,99503280-5,INTASA Intasa
INVERCAP,96708470-0,INVERCAP Invercap
INVERFOODS,96528740-K,INVERFOODS Invertec Foods
INVERNOVA,96872980-2,INVERNOVA Invernova
INVEXANS,91021000-9,INVEXANS Invexans
INVIESPA,96513200-7,INVIESPA Inversiones Union Espanola
IPAL,91482000-6,IPAL Ipal
ISANPA,99551480-K,ISANPA Inmobiliaria San Patricio
ITAUCORP,97023000-9,ITAUCORP Itau
LAS,93930000-7,LAS CONDES Clinica Las Condes
LINDEFUT,94514000-3,LINDEFUT Liga Independiente de Futbol
LIPIGAS,96928510-K,LIPIGAS Empresas Lipigas
LITORAL,91344000-5,LITORAL Compania Electrica del Litoral
LTM,89862200-2,LTM (ex LAN) Latam Airlines Group
MAISONNETT,92056000-8,MAISONNETT Colegio La Maisonnette
MALLPLAZA,76017019-4,MALLPLAZA Plaza
MANQUEHUE,88745400-0,MANQUEHUE Inmobiliaria Manquehue
MARBELLACC,96811060-8,MARBELLACC Marbella Country  Club
MARGARET'S,90906000-1,MARGARET'S Colegio Britanico Saint Margaret's
MARGARET'S,90906000-1,MARGARET'S Colegio Britanico Saint Margaret's
MASISA,92257000-0,MASISA Masisa
MELON,76109779-2,MELON Melon
MINERA,90412000-6,MINERA Minera Valparaiso
MOLLER,92770000-K,MOLLER Empresa Constructora Moller y Perez-Cotapos
MOLYMET,93628000-5,MOLYMET Molibdenos y Metales
MUELLES,91577000-2,MUELLES Muelles de Penco
MULTIFOODS,76672100-1,MULTIFOODS Multiexport Foods
NAVARINO,96566900-0,NAVARINO Navarino
NAVIERA,95134000-6,NAVIERA Grupo Empresas Navieras
NIBSA,83017600-4,NIBSA Nibsa
NITRATOS,76184068-1,NITRATOS Nitratos de Chile
NORTEGRAN,96529340-K,NORTEGRAN Norte Grande
NUEVAPOLAR,96874030-K,NUEVAPOLAR Empresas La Polar
NUEVAREG,96911570-0,NUEVAREG Inversiones Nueva Region
NUTRAVALOR,91643000-0,NUTRAVALOR Inversiones Nutravalor S.A. (ex Empresa Pesquera Eperva
OLDBOYS,91745000-5,OLDBOYS Old Grangonian Club
ORO,96532830-0,ORO BLANCO Sociedad de Inversiones Oro Blanco
OXIQUIM,80326500-3,OXIQUIM Oxiquim
PARAUCO,94627000-8,PARAUCO Parque Arauco
PASUR,91553000-1,"PASUR Forestal, Constructora y Comercial del Pacifico Sur"
PAZ,76488180-K,PAZ Paz Corp
PEHUENCHE,96504980-0,PEHUENCHE Empresa Electrica Pehuenche
PLANVITAL,98001200-K,PLANVITAL Administradora de Fondos de Pensiones Planvital
POLO,71518000-6,POLO Club de Polo y Equitacion San Cristobal
POLPAICO,91337000-7,POLPAICO Cemento Polpaico
POTASIOS-A,76165311-3,BPotasios de Chile
POTASIOS-B,76165311-3,BPotasios de Chile
PREVISION,99301000-6,PREVISION Seguros Vida Security Prevision
PROVIDA,76265736-8,PROVIDA Administradora de Fondos de Pensiones Provida
PUCOBRE,96561560-1,PUCOBRE Sociedad Punta del Cobre
PUNTILLA,96817230-1,PUNTILLA Electrica Puntilla
QUEMCHI,96640360-8,QUEMCHI Quemchi
QUILICURA,96852100-4,QUILICURA Quilicura
QUINENCO,91705000-7,QUINENCO Quinenco
REBRISA-A,96563820-2,BRebrisa
REBRISA-B,96563820-2,BRebrisa
RIPLEY,99579730-5,RIPLEY Ripley Corp
SALFACORP,96885880-7,SALFACORP Salfacorp
SALMOCAM,76065596-1,SALMOCAM Salmones Camanchaca
SANTA,86547900-K,SANTA RITA Sociedad Anonima Vina Santa
SANTANA,90856000-0,SANTANA Santana
SCHWAGER,96766600-9,SCHWAGER Schwager
SCOTIABKCL,97018000-1,SCOTIABKCL Scotiabank
SECURITY,96604380-6,SECURITY Grupo Security
SIEMEL,94082000-6,SIEMEL Inversiones Siemel
SIPSA,96516150-3,SIPSA Sipsa
SIXTERRA,76306696-7,SIXTERRA Inmobliaria Sixterra
SK,99598300-1,SK Sigdo Koppers
SMSAAM,76196718-5,SMSAAM Sociedad Matriz SAAM
SMU,76012676-4,SMU SMU
SOCOVESA,94840000-6,SOCOVESA Socovesa
SOFRUCO,90831000-4,SOFRUCO Sociedad Agricola La Rosa Sofruco
SONDA,83628100-4,SONDA Sonda
SOPROCAL,92108000-K,"SOPROCAL Soprocal, Calerias e Industrias"
SOQUICOM,79768170-9,SOQUICOM Soquimich Comercial
SPORTFRAN,92067000-8,SPORTFRAN Sociedad Anonima Inmobiliaria Sport
SPORTING,90414000-7,SPORTING Valparaiso Sporting Club
SQM-A,93007000-9,BSociedad Quimica y Minera de Chile
SQM-B,93007000-9,BSociedad Quimica y Minera de Chile
STADITALIA,94685000-4,STADITALIA Inmobiliaria Stadio Italiano
TRICAHUE,96542300-1,TRICAHUE Inversiones Tricahue
TRICOT,76266594-8,TRICOT Empresas Tricot
UNESPA,99010000-4,UNESPA Inversiones Unespa
UNION,96790570-4,UNION GOLF Union El Golf
VAPORES,90160000-7,VAPORES Compania Sud Americana de Vapores
VENTANAS,96602640-5,VENTANAS Puerto Ventanas
VICONTO,96512190-0,VICONTO Fruticola Viconto
VOLCAN,90209000-2,VOLCAN Compania Industrial El Volcan
VOLCAN,90209000-2,VOLCAN Compania Industrial El Volcan
WATTS,92236000-6,WATTS Watt's
YUGOSLAVA,93470000-7,YUGOSLAVA Inmobiliaria Yugoslava
YUGOSLAVA,93470000-7,YUGOSLAVA Inmobiliaria Yugoslava
